tag,date,total_works,total_kudos,total_hits,total_words
Top Jinx (League of Legends),2022-01-13,1,429,16037,3924
Top Jayce (League of Legends),2022-01-13,12,26206,291753,56893
Top Ekko (League of Legends),2022-01-13,0,0,0,0
Top Caitlyn (League of Legends),2022-01-13,22,59603,882704,100857
Top Viktor (League of Legends),2022-01-12,10,11462,152914,36216
Top Vi (League of Legends),2022-01-12,12,8716,175841,40827
Top Vander (League of Legends),2022-01-12,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-12,3,1421,21433,8934
Top Sevika (Arcane: League of Legends),2022-01-12,6,2003,44697,19160
Top Mel Medarda,2022-01-12,1,211,6101,810
Top Jinx (League of Legends),2022-01-12,1,429,16037,3924
Top Jayce (League of Legends),2022-01-12,12,26206,291753,56893
Top Ekko (League of Legends),2022-01-12,0,0,0,0
Top Caitlyn (League of Legends),2022-01-12,22,59603,882704,100857
Top Viktor (League of Legends),2022-01-11,10,11462,152914,36216
Top Vi (League of Legends),2022-01-11,12,8716,175841,40827
Top Vander (League of Legends),2022-01-11,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-11,3,1421,21433,8934
Top Sevika (Arcane: League of Legends),2022-01-11,6,2003,44697,19160
Top Mel Medarda,2022-01-11,1,211,6101,810
Top Jinx (League of Legends),2022-01-11,1,429,16037,3924
Top Jayce (League of Legends),2022-01-11,11,21969,240392,48138
Top Ekko (League of Legends),2022-01-11,0,0,0,0
Top Caitlyn (League of Legends),2022-01-11,22,59603,882704,100857
Top Viktor (League of Legends),2022-01-10,10,11462,152914,36216
Top Vi (League of Legends),2022-01-10,12,8716,175841,40827
Top Vander (League of Legends),2022-01-10,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-10,3,1421,21433,8934
Top Sevika (Arcane: League of Legends),2022-01-10,6,2003,44697,19160
Top Mel Medarda,2022-01-10,1,211,6101,810
Top Jinx (League of Legends),2022-01-10,1,429,16037,3924
Top Jayce (League of Legends),2022-01-10,11,21969,240392,48138
Top Ekko (League of Legends),2022-01-10,0,0,0,0
Top Caitlyn (League of Legends),2022-01-10,21,59263,874106,97014
